movie_name,ranking,score,quote,score_num
肖申克的救赎,1,9.6,希望让人自由。,886484人评价
霸王别姬,2,9.5,风华绝代。,637875人评价
这个杀手不太冷,3,9.4,怪蜀黍和小萝莉不得不说的故事。,846167人评价
阿甘正传,4,9.4,一部美国近现代史。,720560人评价
美丽人生,5,9.5,最美的谎言。,420534人评价
千与千寻,6,9.2,最好的宫崎骏，最好的久石让。 ,671842人评价
辛德勒的名单,7,9.4,拯救一个人，就是拯救整个世界。,387465人评价
泰坦尼克号,8,9.2,失去的才是永恒的。 ,662752人评价
盗梦空间,9,9.2,诺兰给了我们一场无法盗取的梦。,772207人评价
机器人总动员,10,9.3,小瓦力，大人生。,504331人评价
海上钢琴师,11,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,605147人评价
三傻大闹宝莱坞,12,9.1,英俊版憨豆，高情商版谢耳朵。,682041人评价
忠犬八公的故事,13,9.2,永远都不能忘记你所爱的人。,461836人评价
放牛班的春天,14,9.2,天籁一般的童声，是最接近上帝的存在。 ,458061人评价
大话西游之大圣娶亲,15,9.2,一生所爱。,494583人评价
龙猫,16,9.1,人人心中都有个龙猫，童年就永远不会消失。,423575人评价
教父,17,9.2,千万不要记恨你的对手，这样会让你失去理智。,347632人评价
楚门的世界,18,9.1,如果再也不能见到你，祝你早安，午安，晚安。,461539人评价
乱世佳人,19,9.2,Tomorrow is another day.,273915人评价
天堂电影院,20,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,312527人评价
触不可及,21,9.1,满满温情的高雅喜剧。,370137人评价
当幸福来敲门,22,8.9,平民励志片。 ,544622人评价
熔炉,23,9.2,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,257005人评价
无间道,24,9.0,香港电影史上永不过时的杰作。,404349人评价
搏击俱乐部,25,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,407430人评价
十二怒汉,26,9.4,1957年的理想主义。 ,173167人评价
怦然心动,27,8.9,真正的幸福是来自内心深处。,553397人评价
星际穿越,28,9.1,爱是一种力量，让我们超越时空感知它的存在。,490203人评价
指环王3：王者无敌,29,9.1,史诗的终章。,287215人评价
少年派的奇幻漂流,30,9.0,瑰丽壮观、无人能及的冒险之旅。,583604人评价
天空之城,31,9.0,对天空的追逐，永不停止。 ,335535人评价
鬼子来了,32,9.2,对敌人的仁慈，就是对自己残忍。,230648人评价
蝙蝠侠：黑暗骑士,33,9.0,无尽的黑暗。,323700人评价
罗马假日,34,8.9,爱情哪怕只有一天。,388581人评价
活着,35,9.1,张艺谋最好的电影。,269129人评价
大话西游之月光宝盒,36,8.9,旷古烁今。,399687人评价
两杆大烟枪,37,9.0,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,275102人评价
飞屋环游记,38,8.9,最后那些最无聊的事情，才是最值得怀念的。 ,500819人评价
窃听风暴,39,9.1,别样人生。,224088人评价
飞越疯人院,40,9.0,自由万岁。,278948人评价
海豚湾,41,9.3,海豚的微笑，是世界上最高明的伪装。,182445人评价
闻香识女人,42,8.9,史上最美的探戈。,322822人评价
V字仇杀队,43,8.8,一张面具背后的理想与革命。,417274人评价
哈尔的移动城堡,44,8.9,带着心爱的人在天空飞翔。,349930人评价
教父2,45,9.1,优雅的孤独。,187101人评价
美丽心灵,46,8.9,爱是一切逻辑和原由。,305340人评价
指环王2：双塔奇兵,47,8.9,承前启后的史诗篇章。,271033人评价
指环王1：魔戒再现,48,8.9,传说的开始。,302819人评价
控方证人,49,9.6,比利·怀德满分作品。,87254人评价
死亡诗社,50,8.9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,277698人评价
情书,51,8.8,暗恋的极致。,374614人评价
天使爱美丽,52,8.7,法式小清新。 ,481996人评价
